Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FIREX,20
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FIREX,17
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FLOOD,2
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_STORM,9
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_STORM,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_LNDSL,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_LNDSL,6
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,8
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,12
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FIREX,10
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FIREX,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FIREX,5
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FIREX,7
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_FLOOD,1
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_STORM,3
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_STORM,2
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_OTHER,3
