Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2016,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_OTHER,2
2017,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_OTHER,2
2016,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FLOOD,2
2017,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_FLOOD,3
2016,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_STORM,21
2017,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_STORM,44
2016,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_OTHER,2
2017,CL_REF_AREA.GA1000006,CL_COMP_BREAKDOWN.HZT_OTHER,4
2016,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_ERQAK,4
2016,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_LNDSL,1
2017,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_LNDSL,2
2016,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,3
2017,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,11
2016,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_OTHER,1
2017,CL_REF_AREA.GA1000008,CL_COMP_BREAKDOWN.HZT_OTHER,4
2016,CL_REF_AREA.GA1000009,CL_COMP_BREAKDOWN.HZT_OTHER,1
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,2
2017,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,2
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_LNDSL,1
2017,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_LNDSL,3
2016,CL_REF_AREA.GA1000010,CL_COMP_BREAKDOWN.HZT_CNFLCT,1
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_ERQAK,1
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,2
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,2
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_LNDSL,4
2016,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_OTHER,5
2017,CL_REF_AREA.GA1000011,CL_COMP_BREAKDOWN.HZT_OTHER,24
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_LNDSL,4
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_LNDSL,14
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,8
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,11
2016,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_OTHER,1
2017,CL_REF_AREA.GA1000013,CL_COMP_BREAKDOWN.HZT_OTHER,46
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_ERQAK,1
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,6
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,12
2016,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_OTHER,3
2017,CL_REF_AREA.GA1000012,CL_COMP_BREAKDOWN.HZT_OTHER,6
2016,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_OTHER,3
2017,CL_REF_AREA.GA1000014,CL_COMP_BREAKDOWN.HZT_OTHER,6
2016,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FLOOD,9
2017,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_FLOOD,5
2016,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,9
2017,CL_REF_AREA.GA1000015,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,7
2017,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,3
2017,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,1
2017,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_EROSN_RVRBK,3
2017,CL_REF_AREA.GA1000004,CL_COMP_BREAKDOWN.HZT_CNFLCT,5
